ID,proportion
07BA,8.245165035223345e-06
00BB,8.245165035223345e-06
01AB,8.245165035223345e-06
05A9,8.245165035223345e-06
010A,8.245165035223345e-06
078D,8.245165035223345e-06
012C,8.245165035223345e-06
02C9,8.245165035223345e-06
0066,8.245165035223345e-06
00D8,8.245165035223345e-06
05E7,8.245165035223345e-06
0614,8.245165035223345e-06
0334,8.245165035223345e-06
0004,8.245165035223345e-06
056F,8.245165035223345e-06
0641,8.245165035223345e-06
047C,8.245165035223345e-06
0317,8.245165035223345e-06
0757,8.245165035223345e-06
0249,8.245165035223345e-06
0361,8.245165035223345e-06
06FF,8.245165035223345e-06
062A,8.245165035223345e-06
0156,8.245165035223345e-06
0502,8.245165035223345e-06
02A4,8.245165035223345e-06
05BF,8.245165035223345e-06
0110,8.245165035223345e-06
03AC,8.245165035223345e-06
036D,8.245165035223345e-06
07FC,8.245165035223345e-06
02FE,8.245165035223345e-06
0095,8.245165035223345e-06
06D5,8.245165035223345e-06
02CC,8.245165035223345e-06
0325,8.245165035223345e-06
073B,8.245165035223345e-06
0673,8.245165035223345e-06
07C9,8.245165035223345e-06
0341,8.245165035223345e-06
05B8,8.245165035223345e-06
048C,8.245165035223345e-06
06CE,8.245165035223345e-06
03C7,8.245165035223345e-06
079B,8.245165035223345e-06
008B,8.245165035223345e-06
07A4,8.245165035223345e-06
077D,8.245165035223345e-06
03C6,8.245165035223345e-06
009D,8.245165035223345e-06
0726,8.245165035223345e-06
0314,8.245165035223345e-06
060A,8.245165035223345e-06
06BD,8.245165035223345e-06
0665,8.245165035223345e-06
0075,8.245165035223345e-06
060C,8.245165035223345e-06
06D7,8.245165035223345e-06
0510,8.245165035223345e-06
00E8,8.245165035223345e-06
02A0,8.245165035223345e-06
05A5,8.245165035223345e-06
039F,8.245165035223345e-06
0444,8.245165035223345e-06
06B7,8.245165035223345e-06
02B3,8.245165035223345e-06
073D,8.245165035223345e-06
02ED,8.245165035223345e-06
0762,8.245165035223345e-06
0202,8.245165035223345e-06
0435,8.245165035223345e-06
0339,8.245165035223345e-06
00FE,8.245165035223345e-06
06AA,8.245165035223345e-06
0050,8.245165035223345e-06
03F7,8.245165035223345e-06
072E,8.245165035223345e-06
0723,8.245165035223345e-06
0768,8.245165035223345e-06
02CE,8.245165035223345e-06
00E9,8.245165035223345e-06
0131,8.245165035223345e-06
05E2,8.245165035223345e-06
0585,8.245165035223345e-06
0713,8.245165035223345e-06
002F,8.245165035223345e-06
0606,8.245165035223345e-06
0637,8.245165035223345e-06
06DE,8.245165035223345e-06
0578,8.245165035223345e-06
0643,8.245165035223345e-06
05D6,8.245165035223345e-06
00EB,8.245165035223345e-06
0540,8.245165035223345e-06
0079,8.245165035223345e-06
0085,8.245165035223345e-06
02EA,8.245165035223345e-06
0544,8.245165035223345e-06
04A7,8.245165035223345e-06
045A,8.245165035223345e-06
02DA,8.245165035223345e-06
0633,8.245165035223345e-06
0308,8.245165035223345e-06
03CA,8.245165035223345e-06
01CC,8.245165035223345e-06
05A0,8.245165035223345e-06
04CB,8.245165035223345e-06
03F2,8.245165035223345e-06
02B4,8.245165035223345e-06
01D6,8.245165035223345e-06
04DF,8.245165035223345e-06
00D2,8.245165035223345e-06
06CD,8.245165035223345e-06
024B,8.245165035223345e-06
0656,8.245165035223345e-06
003C,8.245165035223345e-06
03DA,8.245165035223345e-06
0000,8.245165035223345e-06
05A2,8.245165035223345e-06
02DD,8.245165035223345e-06
0279,8.245165035223345e-06
0076,8.245165035223345e-06
046A,8.245165035223345e-06
07D8,8.245165035223345e-06
00A2,8.245165035223345e-06
03EE,8.245165035223345e-06
07FF,8.245165035223345e-06
